Gene,nascentRNA,PCNA,ratio
APEX1,0.2678,0.2027,0.4022
APEX1,0.0966,0.1019,-0.0776
APEX1,0.1904,0.1079,0.8189
APEX1,0.2672,0.1316,1.0219
APEX1,0.0203,0.0313,-0.6220
APEX1,0.0201,0.0344,-0.7733
APEX1,0.2667,0.1753,0.6050
APEX1,0.2679,0.1435,0.9007
APEX1,0.2261,0.1236,0.8719
APEX1,0.1796,0.1063,0.7562
APEX1,0.2584,0.1927,0.4236
APEX1,0.1827,0.1647,0.1499
APEX1,0.2058,0.1512,0.4447
APEX1,0.2677,0.1236,1.1153
APEX1,0.1976,0.1657,0.2540
APEX1,0.1704,0.1114,0.6133
APEX1,0.2098,0.1457,0.5260
APEX1,0.2067,0.1567,0.3994
APEX1,0.1694,0.1765,-0.0595
APEX1,0.1749,0.1347,0.3771
APEX1,0.2686,0.2152,0.3201
APEX1,0.0407,0.0469,-0.2070
APEX1,0.2383,0.2113,0.1734
APEX1,0.2217,0.1814,0.2893
APEX1,0.3286,0.2359,0.4783
APEX1,0.2207,0.1850,0.2549
APEX1,0.2349,0.1715,0.4537
APEX1,0.2248,0.1383,0.7010
APEX1,0.2035,0.1661,0.2929
APEX1,0.2647,0.1733,0.6116
APEX1,0.2603,0.2063,0.3356
APEX1,0.1451,0.1144,0.3433
APEX1,0.2928,0.1588,0.8829
APEX1,0.1454,0.1237,0.2331
APEX1,0.2258,0.1746,0.3707
APEX1,0.2120,0.2019,0.0705
APEX1,0.1219,0.1186,0.0389
APEX1,0.2127,0.1879,0.1785
APEX1,0.2725,0.2534,0.1053
APEX1,0.2142,0.1383,0.6314
APEX1,0.1862,0.1252,0.5726
APEX1,0.3471,0.1937,0.8411
APEX1,0.1999,0.1275,0.6496
APEX1,0.3039,0.2060,0.5608
APEX1,0.2136,0.1505,0.5054
APEX1,0.1527,0.1259,0.2789
APEX1,0.2018,0.1285,0.6507
APEX1,0.2398,0.1450,0.7256
APEX1,0.2717,0.1740,0.6425
APEX1,0.2466,0.1687,0.5477
APEX1,0.2679,0.1972,0.4416
APEX1,0.2568,0.1625,0.6599
APEX1,0.3474,0.1973,0.8164
APEX1,0.3083,0.1537,1.0041
APEX1,0.3486,0.1933,0.8511
APEX1,0.2289,0.1246,0.8774
APEX1,0.2272,0.1520,0.5797
APEX1,0.2193,0.1433,0.6132
APEX1,0.3039,0.1563,0.9591
APEX1,0.2462,0.1771,0.4752
APEX1,0.1944,0.1339,0.5383
APEX1,0.2481,0.1950,0.3476
APEX1,0.2289,0.1401,0.7081
APEX1,0.4334,0.1187,1.8686
APEX1,0.2965,0.1971,0.5889
APEX1,0.2948,0.1887,0.6433
APEX1,0.2022,0.1706,0.2453
APEX1,0.1173,0.1454,-0.3096
APEX1,0.1255,0.0961,0.3852
APEX1,0.2731,0.1607,0.7650
APEX1,0.3387,0.1601,1.0811
APEX1,0.3163,0.1767,0.8396
APEX1,0.2102,0.1392,0.5951
APEX1,0.2153,0.1083,0.9909
APEX1,0.1891,0.1370,0.4654
APEX1,0.2538,0.1505,0.7541
APEX1,0.3038,0.1984,0.6151
APEX1,0.2612,0.1665,0.6497
APEX1,0.1988,0.1592,0.3199
APEX1,0.2270,0.1402,0.6945
APEX1,0.2196,0.1219,0.8496
APEX1,0.3400,0.1999,0.7660
APEX1,0.2646,0.1743,0.6021
APEX1,0.2518,0.1721,0.5491
APEX1,0.2228,0.1383,0.6877
APEX1,0.2031,0.1758,0.2082
APEX1,0.1868,0.1036,0.8509
APEX1,0.3523,0.1841,0.9361
APEX1,0.2258,0.1188,0.9266
APEX1,0.1872,0.1013,0.8866
APEX1,0.2343,0.1796,0.3841
APEX1,0.1677,0.0781,1.1016
APEX1,0.1818,0.1457,0.3195
APEX1,0.2547,0.1958,0.3795
APEX1,0.1775,0.1118,0.6672
APEX1,0.1673,0.1084,0.6260
APEX1,0.1723,0.1243,0.4711
APEX1,0.2544,0.1803,0.4967
APEX1,0.3049,0.1777,0.7787
APEX1,0.1888,0.0969,0.9625
APEX1,0.2711,0.1647,0.7191
APEX1,0.2467,0.1615,0.6114
APEX1,0.2071,0.1021,1.0200
APEX1,0.3734,0.2118,0.8183
APEX1,0.2553,0.1914,0.4156
APEX1,0.1605,0.1078,0.5742
APEX1,0.1613,0.0961,0.7468
APEX1,0.3314,0.1427,1.2161
APEX1,0.2643,0.1722,0.6180
APEX1,0.1454,0.0925,0.6532
APEX1,0.3104,0.2121,0.5491
APEX1,0.1953,0.1298,0.5891
APEX1,0.1994,0.1242,0.6830
APEX1,0.1879,0.2137,-0.1859
APEX1,0.2495,0.1273,0.9715
APEX1,0.1626,0.1683,-0.0492
APEX1,0.2451,0.1933,0.3424
APEX1,0.2182,0.1532,0.5104
APEX1,0.1641,0.1019,0.6868
APEX1,0.2596,0.2051,0.3396
APEX1,0.2323,0.1084,1.0993
APEX1,0.2219,0.1326,0.7429
APEX1,0.1685,0.1000,0.7530
APEX1,0.1671,0.1134,0.5591
APEX1,0.1546,0.1039,0.5735
APEX1,0.1738,0.1146,0.6009
APEX1,0.1987,0.1247,0.6718
APEX1,0.2512,0.1462,0.7813
APEX1,0.2067,0.1360,0.6040
APEX1,0.2049,0.1410,0.5393
APEX1,0.2335,0.1989,0.2311
APEX1,0.0490,0.0600,-0.2919
APEX1,0.2020,0.1306,0.6292
APEX1,0.1693,0.1200,0.4969
APEX1,0.1850,0.0999,0.8894
APEX1,0.1532,0.0837,0.8731
APEX1,0.1751,0.0884,0.9863
APEX1,0.1691,0.1346,0.3296
APEX1,0.1638,0.1276,0.3598
APEX1,0.2114,0.1174,0.8490
APEX1,0.1899,0.1790,0.0854
APEX1,0.1884,0.1067,0.8210
APEX1,0.1414,0.1060,0.4160
APEX1,0.2204,0.1276,0.7891
APEX1,0.1330,0.0899,0.5653
APEX1,0.1923,0.1484,0.3741
APEX1,0.3344,0.1525,1.1324
APEX1,0.0227,0.0454,-1.0019
APEX1,0.2393,0.1694,0.4986
APEX1,0.2133,0.1015,1.0711
APEX1,0.1861,0.1045,0.8317
APEX1,0.1713,0.0984,0.8001
APEX1,0.3610,0.1739,1.0538
APEX1,0.1326,0.0974,0.4454
APEX1,0.2306,0.1936,0.2527
APEX1,0.1771,0.1189,0.5750
APEX1,0.1874,0.1835,0.0301
APEX1,0.0929,0.0701,0.4064
APEX1,0.3102,0.1497,1.0507
APEX1,0.1603,0.1139,0.4935
APEX1,0.1864,0.1463,0.3498
APEX1,0.1593,0.1074,0.5695
APEX1,0.2268,0.1147,0.9840
APEX1,0.2455,0.1627,0.5935
APEX1,0.1762,0.1084,0.7011
APEX1,0.2511,0.1752,0.5197
APEX1,0.2769,0.1318,1.0712
APEX1,0.2396,0.1139,1.0724
APEX1,0.1840,0.1313,0.4869
APEX1,0.1407,0.1070,0.3949
APEX1,0.0469,0.1017,-1.1170
APEX1,0.1980,0.1198,0.7251
APEX1,0.1488,0.0937,0.6668
APEX1,0.1378,0.1051,0.3909
APEX1,0.1824,0.1071,0.7680
APEX1,0.2206,0.1071,1.0424
APEX1,0.2647,0.1219,1.1179
APEX1,0.1741,0.1137,0.6151
APEX1,0.2179,0.1174,0.8918
APEX1,0.2029,0.0829,1.2919
APEX1,0.2234,0.1714,0.3826
APEX1,0.1717,0.1209,0.5065
APEX1,0.1550,0.0983,0.6578
APEX1,0.0687,0.0290,1.2469
APEX1,0.1301,0.0969,0.4252
APEX1,0.1570,0.1005,0.6431
APEX1,0.2478,0.1168,1.0848
APEX1,0.2246,0.1166,0.9462
APEX1,0.1820,0.1226,0.5694
APEX1,0.2585,0.1683,0.6191
APEX1,0.1254,0.0941,0.4144
APEX1,0.3904,0.2040,0.9365
APEX1,0.2024,0.1209,0.7436
APEX1,0.2188,0.1295,0.7565
APEX1,0.0343,0.0610,-0.8321
APEX1,0.0817,0.0538,0.6018
APEX1,0.2481,0.0910,1.4475
APEX1,0.1326,0.0558,1.2479
APEX1,0.1551,0.0561,1.4682
APEX1,0.2527,0.0942,1.4243
APEX1,0.3884,0.1446,1.4255
APEX1,0.1661,0.0797,1.0592
APEX1,0.2986,0.1016,1.5549
APEX1,0.3553,0.1440,1.3033
APEX1,0.3003,0.1071,1.4873
APEX1,0.2779,0.1028,1.4352
APEX1,0.2541,0.1772,0.5201
APEX1,0.2726,0.1292,1.0777
APEX1,0.2940,0.0996,1.5614
APEX1,0.1478,0.0663,1.1568
APEX1,0.3131,0.0814,1.9440
APEX1,0.2623,0.0884,1.5701
APEX1,0.3078,0.1046,1.5571
APEX1,0.3092,0.1290,1.2617
APEX1,0.2166,0.0744,1.5417
APEX1,0.2862,0.0939,1.6082
APEX1,0.1720,0.0849,1.0188
APEX1,0.3159,0.1159,1.4465
APEX1,0.1488,0.0669,1.1540
APEX1,0.2780,0.0810,1.7786
APEX1,0.1744,0.0804,1.1167
APEX1,0.1976,0.0719,1.4587
APEX1,0.2167,0.0948,1.1921
APEX1,0.2272,0.0863,1.3966
APEX1,0.1816,0.0981,0.8884
APEX1,0.1719,0.0725,1.2465
APEX1,0.1562,0.0677,1.2064
APEX1,0.3244,0.1192,1.4438
APEX1,0.2766,0.1144,1.2733
APEX1,0.2812,0.1157,1.2818
APEX1,0.1928,0.0682,1.5005
APEX1,0.2044,0.0881,1.2133
APEX1,0.1474,0.0707,1.0596
APEX1,0.3061,0.1371,1.1589
APEX1,0.2528,0.0905,1.4822
APEX1,0.2626,0.1036,1.3427
APEX1,0.1624,0.0692,1.2315
APEX1,0.2933,0.1125,1.3829
APEX1,0.2244,0.0878,1.3545
APEX1,0.2737,0.0864,1.6625
APEX1,0.2447,0.0874,1.4847
APEX1,0.2752,0.1156,1.2511
APEX1,0.2185,0.0748,1.5459
APEX1,0.2066,0.1176,0.8129
APEX1,0.1397,0.0660,1.0829
APEX1,0.1986,0.0983,1.0149
APEX1,0.2269,0.0818,1.4713
APEX1,0.3192,0.1132,1.4961
APEX1,0.3093,0.1428,1.1149
APEX1,0.3204,0.1181,1.4403
APEX1,0.3149,0.1099,1.5184
APEX1,0.2470,0.0816,1.5988
APEX1,0.3275,0.1578,1.0533
APEX1,0.2378,0.0849,1.4858
APEX1,0.2610,0.0938,1.4763
APEX1,0.2846,0.1092,1.3822
APEX1,0.1962,0.1160,0.7584
APEX1,0.2952,0.1337,1.1430
APEX1,0.2629,0.0766,1.7793
APEX1,0.2887,0.1186,1.2834
APEX1,0.2772,0.1319,1.0716
APEX1,0.3054,0.1303,1.2283
APEX1,0.2870,0.1300,1.1421
APEX1,0.2540,0.1057,1.2646
APEX1,0.1938,0.1060,0.8705
APEX1,0.2644,0.1835,0.5267
APEX1,0.3212,0.1289,1.3170
APEX1,0.2179,0.0973,1.1626
APEX1,0.2455,0.0928,1.4032
APEX1,0.2699,0.1179,1.1952
APEX1,0.3101,0.1279,1.2775
APEX1,0.2487,0.1669,0.5750
APEX1,0.1865,0.0989,0.9159
APEX1,0.2381,0.1305,0.8672
APEX1,0.2642,0.1273,1.0537
APEX1,0.3013,0.1234,1.2883
APEX1,0.2885,0.1243,1.2153
APEX1,0.2827,0.1073,1.3971
APEX1,0.2359,0.1041,1.1801
APEX1,0.3403,0.1109,1.6180
APEX1,0.2329,0.1088,1.0976
APEX1,0.3072,0.1199,1.3578
APEX1,0.2838,0.1084,1.3893
APEX1,0.2216,0.0887,1.3206
APEX1,0.2936,0.1713,0.7771
APEX1,0.2612,0.1142,1.1938
APEX1,0.0388,0.0390,-0.0067
APEX1,0.3181,0.1270,1.3250
APEX1,0.2356,0.1574,0.5824
APEX1,0.2278,0.1068,1.0927
APEX1,0.2581,0.0975,1.4050
APEX1,0.2045,0.0929,1.1376
APEX1,0.2561,0.1229,1.0590
APEX1,0.2868,0.0953,1.5890
APEX1,0.3233,0.1316,1.2965
APEX1,0.2150,0.1015,1.0829
APEX1,0.2164,0.0884,1.2920
APEX1,0.2705,0.1245,1.1200
APEX1,0.3587,0.1244,1.5283
APEX1,0.1844,0.0787,1.2285
APEX1,0.1683,0.0784,1.1014
APEX1,0.2280,0.1239,0.8801
APEX1,0.3878,0.1712,1.1791
APEX1,0.1551,0.0941,0.7211
APEX1,0.2936,0.1214,1.2736
APEX1,0.1326,0.1142,0.2153
APEX1,0.1993,0.0838,1.2493
APEX1,0.1694,0.1575,0.1051
APEX1,0.2457,0.0950,1.3708
APEX1,0.1829,0.0793,1.2067
APEX1,0.1839,0.0824,1.1582
APEX1,0.2235,0.0991,1.1739
APEX1,0.1867,0.1008,0.8892
APEX1,0.2877,0.1308,1.1370
APEX1,0.1799,0.0817,1.1393
APEX1,0.2144,0.0966,1.1505
APEX1,0.3380,0.1517,1.1561
APEX1,0.2790,0.1019,1.4528
APEX1,0.3180,0.1083,1.5544
APEX1,0.2146,0.0877,1.2917
APEX1,0.2167,0.0853,1.3458
APEX1,0.2681,0.1063,1.3353
APEX1,0.2181,0.0778,1.4878
APEX1,0.2533,0.1191,1.0892
APEX1,0.2753,0.0945,1.5428
APEX1,0.1962,0.0774,1.3419
APEX1,0.3070,0.1624,0.9187
APEX1,0.2684,0.0938,1.5166
APEX1,0.1963,0.0818,1.2624
APEX1,0.1069,0.0727,0.5552
APEX1,0.2228,0.0820,1.4418
APEX1,0.1763,0.0708,1.3158
APEX1,0.2075,0.0927,1.1628
APEX1,0.1910,0.0809,1.2392
APEX1,0.4348,0.1374,1.6623
APEX1,0.3276,0.1473,1.1534
APEX1,0.1950,0.0675,1.5302
APEX1,0.1700,0.0752,1.1778
APEX1,0.3052,0.1049,1.5410
APEX1,0.2892,0.1153,1.3263
APEX1,0.2855,0.0928,1.6209
APEX1,0.1826,0.0947,0.9467
APEX1,0.1894,0.0771,1.2966
APEX1,0.3173,0.1412,1.1683
APEX1,0.2542,0.1058,1.2651
APEX1,0.2906,0.1095,1.4085
APEX1,0.2866,0.1105,1.3752
APEX1,0.1605,0.0739,1.1182
APEX1,0.1819,0.0671,1.4395
APEX1,0.1982,0.1003,0.9830
APEX1,0.2509,0.0998,1.3300
APEX1,0.3347,0.1201,1.4783
APEX1,0.3525,0.1274,1.4684
APEX1,0.2295,0.1010,1.1843
APEX1,0.2630,0.0833,1.6592
APEX1,0.1857,0.0664,1.4835
APEX1,0.3113,0.0900,1.7895
APEX1,0.2145,0.0845,1.3435
APEX1,0.1867,0.0676,1.4660
APEX1,0.2039,0.0952,1.0979
APEX1,0.2756,0.0863,1.6747
APEX1,0.2017,0.0867,1.2184
APEX1,0.2916,0.1070,1.4463
APEX1,0.1949,0.0648,1.5897
APEX1,0.3168,0.1071,1.5640
APEX1,0.2499,0.0808,1.6292
APEX1,0.3220,0.1122,1.5207
APEX1,0.2084,0.1151,0.8562
APEX1,0.2077,0.0759,1.4524
APEX1,0.2750,0.0951,1.5313
APEX1,0.2157,0.0984,1.1321
APEX1,0.2249,0.0970,1.2132
APEX1,0.2839,0.1255,1.1777
APEX1,0.3976,0.1087,1.8714
APEX1,0.2487,0.1117,1.1547
APEX1,0.2336,0.0782,1.5792
APEX1,0.2831,0.1047,1.4347
APEX1,0.2885,0.1292,1.1597
APEX1,0.2006,0.0716,1.4862
APEX1,0.2459,0.0915,1.4262
APEX1,0.2277,0.0806,1.4984
APEX1,0.2039,0.0855,1.2541
APEX1,0.2096,0.0884,1.2447
APEX1,0.1621,0.0796,1.0266
APEX1,0.2706,0.0889,1.6060
APEX1,0.2252,0.0848,1.4090
APEX1,0.2432,0.0852,1.5132
APEX1,0.2936,0.1010,1.5402
APEX1,0.2310,0.0807,1.5167
APEX1,0.2127,0.0984,1.1118
APEX1,0.2836,0.1030,1.4609
APEX1,0.3147,0.1010,1.6397
APEX1,0.1751,0.0905,0.9529
APEX1,0.2532,0.0931,1.4427
APEX1,0.3122,0.1198,1.3817
APEX1,0.2412,0.0828,1.5430
APEX1,0.2481,0.0979,1.3417
APEX1,0.2722,0.1073,1.3432
APEX1,0.2302,0.0936,1.2990
APEX1,0.2368,0.0983,1.2677
APEX1,0.2231,0.0997,1.1617
APEX1,0.2960,0.1016,1.5429
APEX1,0.1586,0.0955,0.7325
APEX1,0.3336,0.2434,0.4550
APEX1,0.2596,0.1158,1.1649
APEX1,0.2723,0.1071,1.3465
APEX1,0.2003,0.0859,1.2207
APEX1,0.2980,0.1211,1.2999
APEX1,0.3084,0.0940,1.7135
APEX1,0.3248,0.1225,1.4064
APEX1,0.2497,0.1010,1.3053
APEX1,0.3257,0.1151,1.5011
APEX1,0.2996,0.1220,1.2963
APEX1,0.2136,0.0936,1.1913
APEX1,0.3079,0.1125,1.4525
APEX1,0.2473,0.0868,1.5106
APEX1,0.2581,0.0889,1.5379
APEX1,0.2743,0.0981,1.4834
APEX1,0.2622,0.1110,1.2408
APEX1,0.2610,0.1154,1.1778
APEX1,0.2622,0.1214,1.1114
APEX1,0.2841,0.1042,1.4472
APEX1,0.2532,0.0749,1.7568
APEX1,0.2451,0.0896,1.4511
APEX1,0.2704,0.1065,1.3442
APEX1,0.2828,0.1104,1.3568
APEX1,0.2974,0.1267,1.2310
APEX1,0.2009,0.0765,1.3924
APEX1,0.3446,0.1736,0.9895
APEX1,0.2941,0.1265,1.2179
APEX1,0.2166,0.0778,1.4768
APEX1,0.3230,0.2336,0.4677
APEX1,0.2453,0.0663,1.8871
APEX1,0.2615,0.0873,1.5828
APEX1,0.0401,0.0924,-1.2038
APEX1,0.2264,0.0596,1.9256
APEX1,0.4567,0.1373,1.7341
APEX1,0.2161,0.0766,1.4966
APEX1,0.3075,0.1226,1.3262
APEX1,0.2173,0.0829,1.3900
APEX1,0.3279,0.1272,1.3660
APEX1,0.2891,0.1130,1.3548
APEX1,0.2821,0.0920,1.6169
APEX1,0.1851,0.0776,1.2543
APEX1,0.2505,0.0779,1.6843
APEX1,0.2335,0.0944,1.3062
APEX1,0.1998,0.0780,1.3576
APEX1,0.3593,0.1770,1.0215
APEX1,0.2665,0.0895,1.5734
APEX1,0.2231,0.0669,1.7384
APEX1,0.3958,0.1335,1.5679
APEX1,0.3965,0.1247,1.6693
APEX1,0.2278,0.0684,1.7353
APEX1,0.3531,0.1266,1.4802
APEX1,0.3604,0.1550,1.2171
APEX1,0.2336,0.0673,1.7956
APEX1,0.2544,0.1288,0.9820
APEX1,0.2870,0.0878,1.7095
APEX1,0.2617,0.1281,1.0306
APEX1,0.2830,0.1086,1.3813
APEX1,0.2317,0.1380,0.7480
APEX1,0.0388,0.0924,-1.2511
APEX1,0.2456,0.0868,1.5010
APEX1,0.3334,0.1638,1.0257
APEX1,0.2313,0.0745,1.6350
APEX1,0.2607,0.1477,0.8195
APEX1,0.3694,0.1377,1.4231
APEX1,0.2511,0.0930,1.4329
APEX1,0.2594,0.1139,1.1866
APEX1,0.0675,0.1217,-0.8493
APEX1,0.2694,0.1234,1.1259
APEX1,0.3044,0.0994,1.6145
APEX1,0.4197,0.2242,0.9046
APEX1,0.2936,0.0956,1.6191
APEX1,0.2768,0.0971,1.5109
APEX1,0.2092,0.0836,1.3227
APEX1,0.2473,0.0892,1.4707
APEX1,0.2802,0.1197,1.2273
APEX1,0.2164,0.0829,1.3836
APEX1,0.3460,0.1328,1.3815
APEX1,0.3244,0.1113,1.5428
APEX1,0.3041,0.0888,1.7758
APEX1,0.1896,0.0798,1.2476
APEX1,0.1674,0.0744,1.1691
PIM2,0.0796,0.0295,1.4314
PIM2,0.2797,0.0754,1.8906
PIM2,0.2135,0.0591,1.8540
PIM2,0.1476,0.0537,1.4597
PIM2,0.0801,0.0327,1.2919
PIM2,0.3689,0.1097,1.7495
